Party_Name,Total_Tons,Record_Count,Avg_Tons,Min_Tons,Max_Tons,Cumulative_Tons,Cumulative_Pct,Tons_Pct,Similar_Names,Similar_Count
Eucatex Industria E Comercio Ltda,3563825.84,39,91380.14974358973,2989.87,462700.0,209299295.63999996,40.0,0.68,,0
Interpipe Ukraine,3328462.48,59,56414.61830508475,2622.6,469337.0,212627758.11999995,40.7,0.64,,0
Reliance Industries Ltd.,3209894.32,140,22927.81657142857,2933.02,89200.88,215837652.43999994,41.3,0.61,Reliance Industries Ltd. Relianc,1
Medcem Global Pazarlama A.S.,3115238.5,94,33140.835106382976,5900.0,53150.0,218952890.93999994,41.9,0.6,Medcem Global Pazarlama As; Medcem Global Pazarlama As Ataturk Tetradeland Comodities Slu Calle,2
Shell Western Supply & Trading Ltd.,3107098.77,58,53570.668448275865,2766.0,470424.0,222059989.70999995,42.5,0.59,Shell Western Supply &Trading Ltd.,1
Agregados Del Caribe S A De C V,2889134.0,56,51591.67857142857,22679.0,60400.0,224949123.70999995,43.0,0.55,,0
Suncor Energy Marketing Inc.,2855563.67,220,12979.834863636363,2688.0,85113.59,227804687.37999994,43.6,0.55,Suncor International Energy & Trading; Suncor Energy Usa Marketing Inc.; Suncor Energy International Trading; Suncor Energy International Ltd.; Suncor Energy Inc.,8
Aramco Americas,2843096.38,70,40615.66257142857,3130.0,94449.56,230647783.75999993,44.1,0.54,,0
Sociedad Punta De Lobos S.A.,2541426.0,74,34343.59459459459,10000.0,55050.0,233189209.75999993,44.6,0.49,Sociedad Punta Delobos Sa,1
Chevron Products Uk Ltd.,2487364.55,52,47833.93365384615,3005.96,89983.08,235676574.30999994,45.1,0.48,Chevron Marine Products Llc,1
Drummond Ltd.,2468800.0,64,38575.0,37500.0,48000.0,238145374.30999994,45.5,0.47,,0
S Oil Corp.,2455635.01,135,18189.888962962963,2851.0,43549.01,240601009.31999993,46.0,0.47,Irving Oil Ltd.; Somo Oil And Marketing; Exxonmobil Oil Corporation; Neste Oil Oyj; Galaxy Oil Fz Llc,65
"Heritage Petroleum Co., Ltd.",2427327.98,37,65603.45891891891,22009.9,82422.13,243028337.29999992,46.5,0.46,,0
Abu Dhabi National,2340587.01,98,23883.540918367344,2531.68,64120.0,245368924.3099999,46.9,0.45,Abu Dhabi Co. For Onshore; Abu Dhabi National Oil Co. (Adnoc),2
Valero Energy Inc.,2328645.43,120,19405.378583333335,2670.0,64383.19,247697569.73999992,47.4,0.45,Valero Energy Ltd.,1
Industries Stria De Compensados Sudati,2303444.63,48,47988.42979166666,4499.53,319968.0,250001014.36999992,47.8,0.44,,0
Arcelormittal Brasil S.A.,2237232.27,80,27965.403375,18175.67,38406.44,252238246.63999993,48.2,0.43,,0
Iron Ore Co. Of Canada,2200823.0,27,81511.96296296296,16500.0,107826.0,254439069.63999993,48.7,0.42,Iron Ore Compnay Of Canada,1
Vale S.A.,2187522.0,28,78125.78571428571,73505.0,82500.0,256626591.63999993,49.1,0.42,Valero Marketing And Supply Co.; Valero Energy Inc.; Valero Energy Ltd.; Valero Engergy Ltd.; Cooperativa Agricola Do Vale Do,10
Exxonmobil Oil Corporation,2166419.74,31,69884.5077419355,12054.0,278216.0,258793011.37999994,49.5,0.41,Exxonmobil Oilcorporation,1
Grupo Minero Del Mar De Cortes,2147600.0,79,27184.810126582277,9000.0,72000.0,260940611.37999994,49.9,0.41,,0
Arcelormittal Pecem S.A.,2127573.89,50,42551.4778,2626.0,71152.91,263068185.26999992,50.3,0.41,,0
Novum Energy Trading Corp.,2108587.3,86,24518.456976744183,3008.0,55087.87,265176772.56999993,50.7,0.4,,0
Ep Petroecuador,2097149.52,47,44620.20255319149,10153.2,105265.54,267273922.08999994,51.1,0.4,,0
Lafarge North America,2059366.23,154,13372.507987012987,2902.99,33000.0,269333288.31999993,51.5,0.39,,0
Totsa Totalenergies Trading Sa,2050111.32,131,15649.704732824428,2533.0,64816.1,271383399.6399999,51.9,0.39,,0
Samarco Mineracao Sa,2022059.0,26,77771.5,74972.0,78932.0,273405458.6399999,52.3,0.39,,0
Gs Caltex Corporation,2003927.55,89,22516.03988764045,2850.0,64979.0,275409386.18999994,52.7,0.38,,0
Vissai Ninh Binh Jsc,1999890.0,87,22987.241379310344,4000.0,49755.0,277409276.18999994,53.1,0.38,,0
Valero Energy Ltd.,1944296.06,146,13317.096301369864,2504.0,36388.37,279353572.24999994,53.4,0.37,,0
Compania Minera Cordillera Chile,1922887.11,48,40060.148125,7500.0,61787.0,281276459.35999995,53.8,0.37,,0
St. Mary's Cement Corp.,1915315.82,138,13879.100144927537,2883.32,27694.3,283191775.17999995,54.2,0.37,,0
Gunvor Group,1897692.78,78,24329.394615384615,3051.0,136583.68,285089467.9599999,54.5,0.36,,0
Taiheiyo Cement Corporation,1888977.0,67,28193.68656716418,4990.0,33400.0,286978444.9599999,54.9,0.36,,0
Titan Cement Company S.A.,1877647.0,44,42673.795454545456,6957.0,48000.0,288856091.9599999,55.2,0.36,,0
Shoreline Aggregates Inc.,1809276.0,34,53214.0,49650.0,54550.0,290665367.9599999,55.6,0.35,,0
Nfe Transport Partners Llc,1792155.22,244,7344.898442622951,2953.84,12847.01,292457523.17999995,55.9,0.34,,0
Natural Oleochemicals Sdn Bhd,1760616.0,4,440154.0,440000.0,440308.0,294218139.17999995,56.3,0.34,,0
Saudi Arabian Chevron Inc.,1733856.7,38,45627.80789473684,18247.0,81366.0,295951995.87999994,56.6,0.33,,0
Nuh Cimento Sanayi A.S.,1733121.0,43,40305.13953488372,8000.0,49405.0,297685116.87999994,56.9,0.33,,0
Arcelormittal Mexico S.A. De C.V.,1698579.13,35,48530.832285714285,46700.14,51885.0,299383696.00999993,57.3,0.32,,0
Nu Iron Unlimited,1612511.35,48,33593.98645833333,17311.23,45970.19,300996207.35999995,57.6,0.31,,0
Carver Materials Canada Ltd.,1602948.05,40,40073.70125,20288.0,47302.96,302599155.40999997,57.9,0.31,,0
Equinor Asa,1517419.99,49,30967.754897959185,2766.0,78903.66,304116575.4,58.2,0.29,,0
Cemex Materials Newfoundland Inc.,1489733.0,52,28648.71153846154,7262.0,58295.0,305606308.4,58.4,0.28,,0
"Nippon Steel Trading Co., Ltd.",1456520.87,62,23492.272096774195,2545.78,49730.0,307062829.27,58.7,0.28,,0
Ontario Trap Rock,1448191.9,79,18331.543037974683,4731.72,33000.0,308511021.16999996,59.0,0.28,,0
