HS,HS Code,Break-Bulk,Group,Cargo Grouop,Cargo,Keywords,Exception,Note,Title,Description,Count,Tons
33,3307,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included; prepared room deodorizers, whether or not perfumed or having disinfectant properties:","Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included; prepared room deodorizers, whether or not perfumed or having disinfectant properties:",1,0
33,3306,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages:","Preparations for oral or dental hygiene, including denture fixative pastes and powders; yarn used to clean between the teeth (dental floss), in individual retail packages:",1,8917
33,3305,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Preparations for use on the hair:,Preparations for use on the hair:,1,0
33,3304,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations:","Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), including sunscreen or sun tan preparations; manicure or pedicure preparations:",1,45
33,3303,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,Perfumes and toilet waters,Perfumes and toilet waters,20,213
33,3302,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufacture of beverages:","Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufacture of beverages:",2,95
33,3301,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by products of the deterpenation of essential oils; aqueous distillates and aqueous solutions of essential oils:","Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by products of the deterpenation of essential oils; aqueous distillates and aqueous solutions of essential oils:",1,1
32,3215,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid:","Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid:",1,13
32,3214,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like:","Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; nonrefractory surfacing preparations for facades, indoor walls, floors, ceilings or the like:",1,0
32,3213,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Artists', students' or signboard painters' colors, modifying tints, amusement colors and the like, in tablets, tubes, jars, bottles, pans or in similar forms or packings:","Artists', students' or signboard painters' colors, modifying tints, amusement colors and the like, in tablets, tubes, jars, bottles, pans or in similar forms or packings:",3,39296
32,3209,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium:","Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium:",4,2
32,3208,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a nonaqueous medium; solutions as defined in note 4 to this chapter:","Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a nonaqueous medium; solutions as defined in note 4 to this chapter:",4,11
32,3207,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,"tons is greater than 10, mark misclassified",,"Prepared pigments, prepared opacifiers and prepared colors, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of powder, granules or flakes:","Prepared pigments, prepared opacifiers and prepared colors, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the form of powder, granules or flakes:",1,0
32,3206,Bulk,NonFerrous Raw Materials,Tios2,Tio2,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,6552
32,3206,Bulk,NonFerrous Raw Materials,Tios3,Tio3,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,4000
32,3206,Bulk,NonFerrous Raw Materials,Tios4,Tio4,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,20497
32,3206,Bulk,NonFerrous Raw Materials,Tios5,Tio5,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,7746
32,3206,Bulk,NonFerrous Raw Materials,Tios6,Tio6,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,107273
32,3206,Bulk,NonFerrous Raw Materials,Tios7,Tio7,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,0
32,3206,Bulk,NonFerrous Raw Materials,Tios8,Tio8,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,6005
32,3206,Bulk,NonFerrous Raw Materials,Tios9,Tio9,"Tios, Titanium Bearing Slag, Ilmenite",,,"Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:","Other coloring matter; preparations as specified in note 3 to this chapter, other than those of heading 3203, 3204 or 3205; inorganic products of a kind used as luminophores, whether or not chemically defined:",1,432
