HS2,HS4,Group,Commodity,Cargo,Cargo_Detail,Keywords_Str,Min Tons,Max Tons,Note,HS Title,HS Decription,HS_Code,Port of Loading (F),Shipper,Count,Tons
82,8205,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,0,10000,KEEP,"Handtools (including glass cutters) not elsewhere specified or included; blow torches and similar self-contained torches; vises, clamps and the like, other than accessories for and parts of machine tools or water-jet cutting machines; anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; base metal parts thereof:","Handtools (including glass cutters) not elsewhere specified or included; blow torches and similar self-contained torches; vises, clamps and the like, other than accessories for and parts of machine tools or water-jet cutting machines; anvils; portable forges; hand- or pedal-operated grinding wheels with frameworks; base metal parts thereof:",,,,1,1
82,8204,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,0,10000,KEEP,"Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); socket wrenches, with or without handles, drives or extensions; base metal parts thereof:","Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); socket wrenches, with or without handles, drives or extensions; base metal parts thereof:",,,,1,1
82,8203,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,0,10000,KEEP,"Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe cutters, bolt cutters, perforating punches and similar handtools, and base metal parts thereof:","Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe cutters, bolt cutters, perforating punches and similar handtools, and base metal parts thereof:",,,,1,1
82,8202,Break-Bulk,General Cargo,Machinery,Machinery,Machinery,0,10000,KEEP,"Handsaws, and metal parts thereof; blades for saws of all kinds (including slitting, slotting or toothless saw blades), and base metal parts thereof:","Handsaws, and metal parts thereof; blades for saws of all kinds (including slitting, slotting or toothless saw blades), and base metal parts thereof:",,,,1,1
70,7019,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Glass fibers (including glass wool) and articles thereof (for example, yarn, rovings, woven fabrics):","Glass fibers (including glass wool) and articles thereof (for example, yarn, rovings, woven fabrics):",,,,1,1
70,7018,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Glass beads, imitation pearls, imitation precious or semiprecious stones and similar glass smallwares and articles thereof other than imitation jewelry; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, other than imitation jewelry; glass microspheres not exceeding 1 mm in diameter:","Glass beads, imitation pearls, imitation precious or semiprecious stones and similar glass smallwares and articles thereof other than imitation jewelry; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, other than imitation jewelry; glass microspheres not exceeding 1 mm in diameter:",,,,1,1
70,7016,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or molded glass, whether or not wired, of a kind used for building or construction purposes; glass cubes and other glass smallwares, whether or not on a backing, for mosaics or similar decorative purposes; leaded glass windows and the like; multicellular or foam glass in blocks, panels, plates, shells or similar forms:","Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or molded glass, whether or not wired, of a kind used for building or construction purposes; glass cubes and other glass smallwares, whether or not on a backing, for mosaics or similar decorative purposes; leaded glass windows and the like; multicellular or foam glass in blocks, panels, plates, shells or similar forms:",,,,1,1
70,7013,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018):","Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018):",,,,1,1
70,7010,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Carboys, bottles, flasks, jars, pots, vials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass:","Carboys, bottles, flasks, jars, pots, vials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass:",,,,1,1
70,7009,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Glass mirrors, whether or not framed, including rear-view mirrors:","Glass mirrors, whether or not framed, including rear-view mirrors:",,,,1,1
70,7007,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Safety glass, consisting of toughened (tempered) or laminated glass:","Safety glass, consisting of toughened (tempered) or laminated glass:",,,,1,1
70,7005,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:","Float glass and surface ground or polished glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked:",,,,1,1
70,7002,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,"Glass in balls (other than microspheres of heading 7018), rods or tubes, unworked:","Glass in balls (other than microspheres of heading 7018), rods or tubes, unworked:",,,,1,1
69,6913,Break-Bulk,General Cargo,General Cargo,General Cargo,General Cargo,0,10000,KEEP,Statuettes and other ornamental ceramic articles:,Statuettes and other ornamental ceramic articles:,,,,1,1
69,6912,Dry Bulk,Construction Materials,Aggregates,Limestone,"Limestone, TXDOT, LADOT, FDOT, LADOTD",,,KEEP,"Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china","Ceramic tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china",,,,1,1
69,6910,Dry Bulk,Construction Materials,Aggregates,Limestone,"Limestone, TXDOT, LADOT, FDOT, LADOTD",,,KEEP,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet bowls, flush tanks, urinals and similar sanitary fixtures:","Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet bowls, flush tanks, urinals and similar sanitary fixtures:",,,,1,1
69,6910,Dry Bulk,Construction Materials,Aggregates,Limestone,"Limestone, TXDOT, LADOT, FDOT, LADOTD",,,KEEP,,,Classified: 6910.90,"Adana, Turkey",Medcem Global Pazarlama A.S.,1,1
69,6910,Dry Bulk,Construction Materials,Aggregates,Limestone,"Limestone, TXDOT, LADOT, FDOT, LADOTD",,,KEEP,,,Classified: 6910.90,"All Other Viet Nam Ports, Vietnam",Vissai Ninh Binh Jsc,1,1
38,3801,Dry Bulk,Misc Bulk,Carbon Products,Carbon Products,Graphite,,,KEEP,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures:","Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures:",,,,1,1
