IMO,Vessel,Design,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Source_File
9957414,SOFIA,,"General Cargo 5,000-9,999 dwt",7896,0,16.52,10.4,6402,2492,9700,0,7.2,Ship Results (42).xlsx
9957438,XH META,SDARI 210,Bulk Carrier-Newcastlemax,211188,295.4,50.042,25,108911,68950,226455,0,18.5,Ship Results (5).xlsx
9957440,XH MEGA,SDARI 210,Bulk Carrier-Newcastlemax,211149,295.4,50.042,25,108911,68950,226455,0,18.5,Ship Results (5).xlsx
9957452,LIANG XIANG 82,,Containership-Feedermax,51281,0,0,16.8,30000,0,0,0,11.9,Ship Results (45).xlsx
9957464,TIAN XIANG 81,,Container-Baby post-Panamax,58000,0,0,17.8,35683,19982,0,0,12.6,Ship Results (45).xlsx
9957476,GCL LAZARO,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82447,0,0,20.15,43821,27738,98089,0,14.579,Ship Results (6).xlsx
9957488,GCL MOBILE,Kamsarmax,Bulk Carrier-Pmax/Kamsarmax,82525,0,0,20.15,43821,27738,98089,0,14.579,Ship Results (6).xlsx
9957490,CHUANG XIN 11,,Bulk Carrier-Small Handy,15597,142.55,0,10.8,10000,0,19727,0,8,Ship Results (9).xlsx
9957505,CHUANG XIN 12,,Bulk Carrier-Small Handy,15610,142.55,0,10.8,10000,0,19727,0,8,Ship Results (9).xlsx
9957517,CHUANG XIN 17,,Bulk Carrier-Small Handy,15607,142.55,0,10.8,10000,0,19727,0,8,Ship Results (9).xlsx
9957579,BEI HAI CHANG SHUN,,"Tanker-5,000-7,499dwt",5437,0,0,8,4498,2518,0,0,5.8,Ship Results (27).xlsx
9957593,THEMIS PETRAKIS,,Bulk Carrier-Pmax/Kamsarmax,82427,0,32.301,20.35,44579,27168,98740,0,14.5,Ship Results (6).xlsx
9957608,AURORA BOREALIS,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82315,225.52,32.312,20.35,44566,27152,97000,0,14.5,Ship Results (6).xlsx
9957610,LADY J,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82000,0,32.312,20.35,44566,27152,97000,0,14.5,Ship Results (6).xlsx
9957622,ADELAIDE,SDARI KMAX82NEW,Bulk Carrier-Pmax/Kamsarmax,82388,0,32.312,20.35,44566,27152,97000,0,14.5,Ship Results (6).xlsx
9957634,CHINA ACE,,Bulk Carrier-Newcastlemax,210346,295.17,50.036,25.2,108985,67986,226653,0,18.5,Ship Results (5).xlsx
9957646,CHINA VISTA,,Bulk Carrier-Newcastlemax,210271,295.17,50.036,25.2,108985,67986,224800,0,18.5,Ship Results (5).xlsx
9957658,SHEN YU 37,,Bulk Carrier-Large Handy,33000,0,0,14.2,20000,0,42000,0,9.9,Ship Results (2).xlsx
9957660,MILD JASMINE,SDARI SL1900,Containership-Regional Feeder,24306,0,0,14.5,18166,7881,0,0,10,Ship Results (45).xlsx
9957672,MILD ROSE,SDARI SL1900,Containership-Regional Feeder,24308,0,0,14.5,18166,7881,0,0,10,Ship Results (45).xlsx
9957725,ASSOS,,LNG-New Panamax,93771,0,46.431,26.5,116581,34974,0,0,12.5,Ship Results (37).xlsx
9957737,APOSTOLOS,,LNG-New Panamax,93659,0,46.431,26.5,116581,34974,0,0,12.52,Ship Results (37).xlsx
9957749,VIET THUAN 168,,"General Cargo 15,000-19,999dwt",17048,0,0,10.5,9693,5472,0,0,7.8,Ship Results (41).xlsx
9957751,DONG GUI 18,,"Tanker-5,000-7,499dwt",7498,0,0,9.6,5990,2803,0,0,6.9,Ship Results (27).xlsx
9957763,DONG GUI 19,,"Tanker-5,000-7,499dwt",7499,0,0,9.6,5990,2803,0,0,6.89,Ship Results (27).xlsx
9957880,IDEKA 01,,"Tanker-<=4,999dwt",839,0,0,3.66,599,237,0,0,0,Ship Results (28).xlsx
9957892,ENEOS MIRAI,,LPG-Very Large Gas Carrier,56519,227,37.239,21.9,49541,14863,0,73.4,11.681,Ship Results (29).xlsx
9957971,KOSHO MARU NO. 5,,LPG-Small Gas Carrier,1287,64.21,0,5.9,996,0,0,0,4.712,Ship Results (30).xlsx
9957983,HIYOSHI MARU NO. 8,,LPG-Small Gas Carrier,1297,65.81,0,5.5,998,0,0,0,4.462,Ship Results (30).xlsx
9957995,NIKKO MARU NO. 3,,"Tanker-<=4,999dwt",324,0,0,3.2,132,0,0,0,2.95,Ship Results (28).xlsx
9958004,SCARLET ROBIN,,Tanker-Handy,19993,138.44,24.03,13.1,12065,6281,0,29.7,9.742,Ship Results (24).xlsx
9958066,SKY IRIS,,Containership-Regional Feeder,12312,129.92,0,11,9940,4663,0,0,8.215,Ship Results (46).xlsx
9958078,SKY TIARA,,Containership-Regional Feeder,12348,129.92,0,11,9940,4663,0,0,8.215,Ship Results (46).xlsx
9958080,WAN HAI 366,JMU 3055,Container-Baby post-Panamax,37160,195.438,34.84,16.6,30676,13096,0,0,11.5,Ship Results (45).xlsx
9958092,WAN HAI 370,JMU 3055,Container-Baby post-Panamax,37160,195.438,34.84,16.6,30676,13096,0,0,11.5,Ship Results (45).xlsx
9958107,WAN HAI 371,JMU 3055,Container-Baby post-Panamax,37160,195.438,34.84,16.6,30676,13096,0,0,11.5,Ship Results (45).xlsx
9958119,WAN HAI 373,JMU 3055,Container-Baby post-Panamax,37160,195.438,34.84,16.6,30676,13096,0,0,11.5,Ship Results (45).xlsx
9958121,WAN HAI 375,JMU 3055,Container-Baby post-Panamax,37160,195.438,34.84,16.6,30676,13096,0,0,11.5,Ship Results (45).xlsx
9958133,WAN HAI 377,JMU 3055,Container-Baby post-Panamax,37160,195.438,34.84,16.6,30676,13096,0,0,11.5,Ship Results (45).xlsx
9958169,HAYABUSA III,,,1400,0,0,11.45,3000,0,0,0,4.8,Ship Results (52).xlsx
9958195,VIET THUAN 11-01,,"General Cargo 10,000-14,999dwt",10808,0,21.628,8.25,6225,3737,12865,0,6.5,Ship Results (41).xlsx
9958200,YANGZE 26,CS Marine 82BC,Bulk Carrier-Pmax/Kamsarmax,82429,225.25,32.295,20,44479,27570,97000,0,14.45,Ship Results (6).xlsx
9958212,YANGZE 22,CS Marine 82BC,Bulk Carrier-Pmax/Kamsarmax,82399,0,32.295,20,44479,27553,97000,0,14.45,Ship Results (6).xlsx
9958224,YANGZE 23,CS Marine 82BC,Bulk Carrier-Pmax/Kamsarmax,82367,0,32.295,20,44479,27567,97000,0,14.45,Ship Results (6).xlsx
9958236,YANGZE 25,CS Marine 82BC,Bulk Carrier-Pmax/Kamsarmax,82420,0,32.295,20,44479,27570,97000,0,14.4,Ship Results (6).xlsx
9958262,TAEBAEK,,LPG-Very Large Gas Carrier,54994,223.72,32.289,23.75,48993,19682,0,67.2,12.272,Ship Results (29).xlsx
9958274,SOBAEK EXPLORER,,LPG-Very Large Gas Carrier,54994,223.72,32.289,23.75,48993,19682,0,67.2,12.272,Ship Results (29).xlsx
9958286,AKTORAS,,LNG-New Panamax,93533,292.016,46.427,26.3,116581,34974,0,0,12.5,Ship Results (37).xlsx
9958298,NORTH LIGHT,,LNG-New Panamax,93286,0,46.438,26.5,115555,34666,0,115.6,12.5,Ship Results (37).xlsx
9958303,NORTH MOON,,LNG-New Panamax,93286,0,46.438,26.5,115555,34666,0,115.6,12.5,Ship Results (37).xlsx
9958315,NORTH OCEAN,,LNG-New Panamax,93214,0,46.438,26.5,115555,34666,0,115.6,12.52,Ship Results (37).xlsx
9958327,NORTH VALLEY,,LNG-New Panamax,91430,0,46.438,26.5,115555,34666,0,115.6,12.5,Ship Results (37).xlsx
9958339,NORVIC HOUSTON,SHI 40BC,Bulk Carrier-Large Handy,39755,174.69,0,14.8,24754,12429,49880,0,10.224,Ship Results (2).xlsx
9958341,NORVIC SINGAPORE,SHI 40BC,Bulk Carrier-Large Handy,39738,174.69,0,14.8,24754,12429,49880,0,10.224,Ship Results (2).xlsx
9958365,VIANCA,,"General Cargo 10,000-14,999dwt",13551,114.18,0,14.05,9943,4527,19550,0,9.177,Ship Results (41).xlsx
9958377,FLORENCIA,Kurushima 40BC,Bulk Carrier-Large Handy,39972,0,0,14.7,25015,12488,48358,0,10.346,Ship Results (2).xlsx
9958389,GAS GARNET,,LPG-Very Large Gas Carrier,56360,227,37.239,21.9,49561,14869,0,73.4,11.681,Ship Results (29).xlsx
9958391,GAS AMETHYST,,LPG-Very Large Gas Carrier,56337,227,37.239,21.9,49561,14869,0,73.5,11.681,Ship Results (29).xlsx
9958418,RYUKYU EXPRESS 7,,Ro-ro cargo <=499 LM,7657,183.42,0,21.6,13631,0,0,0,6.995,Ship Results (51).xlsx
9958420,RUI GAO GE JU,,"Tanker-<=4,999dwt",4000,0,0,7.6,3655,1260,0,13.2,5.41,Ship Results (28).xlsx
9958432,FJ DALIA,Kurushima 64BC,Bulk Carrier-Supra/Ultramax,64273,0,0,19.4,36762,21162,81004,0,13.62,Ship Results (13).xlsx
9958444,APOLLO MARCH,,"General Cargo 10,000-14,999dwt",13536,114.18,0,14.05,9932,4527,19550,0,9.177,Ship Results (41).xlsx
9958494,FERY XXIII,,"Tanker-<=4,999dwt",206,0,0,1.8,119,71,0,0,1.4,Ship Results (28).xlsx
9958523,LITTLE CONCERT,Jiangsu 2400,Containership-Feedermax,35220,0,32.29,17.1,26749,11854,0,0,11.5,Ship Results (45).xlsx
9958535,CUL KLANG,Jiangsu 2400,Containership-Feedermax,35281,0,0,17.1,26749,11858,0,0,11.5,Ship Results (45).xlsx
9958573,HONG PENG,,,7535,0,0,11.3,9823,2946,0,21.4,7.6,Ship Results (41)tanker.xlsx
9958585,HONG JIA,,LPG-Small Gas Carrier,4346,0,0,8,4498,1386,0,14.8,6.2,Ship Results (30).xlsx
9958597,HONG TAI,,LPG-Small Gas Carrier,4338,0,0,8,4498,1386,0,14.8,6.2,Ship Results (30).xlsx
9958602,HONG JING,,LPG-Small Gas Carrier,4349,0,0,8,4498,1386,0,14.8,6.2,Ship Results (30).xlsx
9958614,HONG RUI,,LPG-Small Gas Carrier,4338,0,0,8,4498,1386,0,14.8,6.2,Ship Results (30).xlsx
9958640,EMEI,,LNG-New Panamax,91557,0,45.032,26.25,114274,37330,0,115,12.5,Ship Results (37).xlsx
9958652,HUASHAN,,LNG-New Panamax,91753,0,45.032,26.25,114274,37330,0,115,12.5,Ship Results (37).xlsx
9958664,KONGTONG,,LNG-New Panamax,91682,288.577,45.032,26.25,114296,37327,0,115,12.5,Ship Results (37).xlsx
9958688,GAS INNOVATOR,,LPG-Medium Gas Carrier,17945,0,25.54,15.9,17680,5304,0,35.3,9.018,Ship Results (31).xlsx
9958705,GAUTAM KAVYA,,"General Cargo <=4,999 dwt",2266,0,13.02,4.7,1304,638,0,0,3.5,Ship Results (43).xlsx
9958717,GAUTAM ANANYA,,"General Cargo <=4,999 dwt",2261,0,13.02,4.7,1304,638,0,0,3.5,Ship Results (43).xlsx
9958729,GAUTAM ATHARV,,"General Cargo <=4,999 dwt",2267,0,13.02,4.7,1304,636,0,0,3.5,Ship Results (43).xlsx
9958731,GAUTAM ADITI,,"General Cargo <=4,999 dwt",2267,0,13.02,4.7,1304,636,0,0,3.5,Ship Results (43).xlsx
9958755,AAL LIMASSOL,,"General Cargo =>30,000dwt",32517,176.913,30.044,15.5,25784,9268,0,0,10.3,Ship Results (41).xlsx
