Shipper,Consignee,Shipments,Tons,BOL_Count
Ep Petroecuador,Shell,17,740501.41,17
ArcelorMittal,Am/Ns Calvert Llc,15,738799.24,15
Yara Porsgrunn,Yara North America,226,737252.3,226
BP,BP,33,735390.68,33
Galtrade Ltd.,Valero,24,734597.38,24
St. Mary's Cement Corp.,St. Mary's Cement Co.,42,730652.6,42
K And S Windsor Salt Ltd.,Morton Salt,23,725640.0,23
Titan Cement Company S.A.,The Essex Cement Co. Llc,18,721420.48,18
Puraglobe Germany Gmb H,Puraglobe Syntaincis Llc,31,721367.91,31
Aramco Americas,ExxonMobil,9,714536.6799999999,9
Global Trade Operations,Ferrosource,4,708705.01,4
Heritage Petroleum,Citgo,9,706040.0700000001,9
Socar Trading North America,Citgo,9,698880.9299999999,9
Samarco Mineracao Sa,Nucor Steel,9,695976.0,9
Trafigura,PAR Hawaii Refining,24,694076.57,24
Gunvor Group,Valero,33,688781.94,33
PMI Trading,Total Specialties Usa Inc.,16,684079.6799999999,16
Lafarge North America,Emirates Aluminium (EGA),29,658448.83,29
Nuh Cimento Sanayi A.S.,Argos Usa,18,646405.38,18
Medcem Global,Cemex,31,645714.73,31
"Nippon Steel Trading Co., Ltd.",Hm Southeast Cement Llc,13,642400.0,13
"Sk Enmove Co., Ltd.",Sk Enmove Americas Inc.,137,639383.0,137
Abu Dhabi National Oil Company,Chevron,18,621428.0,18
Kia,Kia Motors America Inc.,588,621199.95,588
Marathon International Product,Marathon Petroleum,24,619284.9299999999,24
Statoil Brasil Oleo E Gas Ltda,Chevron,8,618081.0,8
Vissai Ninh Binh Joint Stock,Glacier Northwest,21,607226.0,21
Sucocitrico Cutrale Ltda,Citrus Products Inc.,61,600373.03,61
Medcem Global,Houston Cement Co.,14,594518.0,14
Trafigura,PBF Energy,13,583708.73,13
Monroe Energy,Monroe Energy,11,582078.72,11
Gunvor Group,Marathon Petroleum,5,573704.75,5
Df Young,General Motors Corp.,1152,562491.06,1152
"Sct Co., Ltd.",Hawaiian Cement Cement Division,16,560800.0,16
Sao Martinho Sa,Belfius Bank Brussels,4,560708.1599999999,4
Tajo Chirripo Sa,Dunham Price Group Llc,13,550705.0,13
Ocp Nutricrops S.A.,O Zf North America Inc.,22,544280.0,22
PMI Trading,Freepoint Commodities,28,538573.69,28
Posco,Posco America,1356,535716.4,1356
Ecopetrol,Citgo,7,526501.75,7
Ecopetrol,PBF Energy,15,525702.69,15
Metsa Board,Metsae Board Americas Corp.,122,525455.67,122
Citrosuco Sa Agroindustria,Citrosuco N.A. Inc.,54,524896.21,54
Medcem Global,Texan Cement,13,524855.15,13
Monroe Energy,Aramco Americas,7,524244.0,7
PDVSA,Repsol Trading Sa,6,522580.19,6
PMI Trading,Gunvor Usa,18,520673.24,18
Totsa Totalenergies Trading Sa,Citgo,19,519316.56,19
Nuh Cimento Sanayi A.S.,Sesco Cement Corp.,12,517618.0,12
Saint Gobain Placo Iberica Sa,Trans American Chb Inc.,11,515519.0,11
Petrobras,Marathon Petroleum,8,515457.62,8
