HS2,HS4,Records,Tons
84,8410,2,74.0
70,7009,6,73.57
90,9015,8,71.55
41,4102,2,69.88
10,1007,1,58.0
83,8307,4,57.63
19,1902,6,54.519999999999996
10,1002,1,52.16
63,6306,24,51.86
84,8484,4,51.29
85,8529,18,49.89
69,6910,6,49.260000000000005
90,9022,15,47.89
61,6115,20,46.81
89,8901,6,46.080000000000005
68,6804,4,43.03
48,4821,3,42.97
52,5202,1,42.0
65,6505,18,41.18
28,2850,1,40.08
05,0506,1,39.8
83,8301,7,39.06
86,8605,2,37.83
40,4015,8,37.7
59,5901,7,36.75
85,8534,3,36.08
48,4820,61,35.69
82,8210,1,35.0
89,8906,3,33.86
76,7607,2,33.84
70,7007,19,33.62
32,3213,2,33.11
84,8403,2,32.39
84,8468,1,31.93
84,8420,2,31.27
04,0406,19,29.439999999999998
87,8707,1,28.52
82,8205,26,28.51
48,4817,3,27.57
87,8714,6,27.48
98,9809,2,27.479999999999997
08,0809,2,27.09
11,1102,1,25.82
48,4805,9,23.9
84,8404,4,22.82
20,2002,1,22.23
76,7609,17,21.61
32,3207,6,21.18
62,6210,6,20.98
73,7324,33,20.72
29,2912,3,20.53
32,3204,18,19.49
49,4902,24,19.34
04,0401,1,19.15
68,6813,4,18.439999999999998
62,6201,4,18.25
03,0302,1,18.17
25,2506,22,17.259999999999998
63,6303,6,16.95
84,8452,19,16.85
99,9999,1,14.97
69,6911,8,14.67
76,7603,7,14.559999999999999
74,7401,1,14.0
26,2611,1,13.21
15,1521,2,13.21
96,9603,9,12.9
28,2828,6,12.15
20,2001,1,11.8
90,9021,4,11.6
95,9507,2,10.68
09,0906,5,10.52
74,7419,4,10.03
73,7316,1,9.98
72,7223,4,9.88
34,3403,6,9.73
70,7008,4,9.719999999999999
97,9706,2,8.5
48,4823,18,8.36
62,6211,13,8.27
85,8505,8,8.15
84,8485,1,7.84
97,9703,5,7.52
39,3916,3,7.52
49,4910,13,7.35
16,1601,2,7.32
06,0603,5,7.16
64,6405,2,7.14
81,8108,4,6.76
90,9004,6,6.18
70,7017,5,6.05
90,9033,3,6.05
85,8531,19,4.91
85,8532,1,4.7
73,7320,3,4.35
28,2803,8,4.29
62,6205,17,4.29
59,5911,2,4.21
82,8211,7,4.14
84,8445,2,3.8
96,9618,1,3.6
55,5509,4,3.5399999999999996
96,9610,1,3.48
32,3210,4,3.42
69,6903,2,3.28
90,9013,2,3.21
29,2934,3,3.1900000000000004
29,2926,2,3.18
85,8542,6,3.1799999999999997
68,6805,6,3.16
85,8527,4,3.1599999999999997
21,2102,5,3.09
42,4203,4,3.04
90,9007,31,2.97
28,2825,3,2.88
59,5906,1,2.64
30,3002,1,2.63
44,4402,3,2.59
97,9705,7,2.54
48,4813,4,2.48
67,6704,3,2.34
84,8423,4,2.3
37,3701,2,2.23
44,4417,1,2.19
29,2936,4,2.12
35,3505,2,2.0
38,3822,7,1.9900000000000002
52,5209,3,1.99
65,6506,2,1.94
29,2925,1,1.87
