Entity_Type,Entity_1,Entity_2,Entity_1_Total_Tons,Entity_2_Total_Tons,Overlapping_Trade_Lanes,Overlap_Tonnage,Overlap_Pct_Entity_1,Overlap_Pct_Entity_2,Max_Overlap_Pct,Top_Competing_Lane_1,Top_Competing_Lane_2,Top_Competing_Lane_3
Shipper,MARUICHI SUN STEEL JSC,NAM KIM STEEL JOINT,108263.78999999998,42675.179999999964,7,17862.85,16.499376199558505,41.857702767744655,41.857702767744655,"ALL OTHER VIET NAM PORTS, VIETNAM→TAMPA|STEEL","ALL OTHER VIET NAM PORTS, VIETNAM→HOUSTON|GENERAL CARGO","ALL OTHER VIET NAM PORTS, VIETNAM→NEW ORLEANS|GENERAL CARGO"
Consignee,CEVA LOGISTICS,WIRTGEN AMERICA,444198.7299999957,82419.01999999992,11,17857.08,4.020065523375129,21.666212483477747,21.666212483477747,"ZEEBRUGGE, BELGIUM→GEORGIA PORTS|RO/RO","ZEEBRUGGE, BELGIUM→HOUSTON|RO/RO","BREMERHAVEN, GERMANY→HOUSTON|RO/RO"
Shipper,"HUSTEEL CO., LTD.","KUKJE STEEL CO., LTD.",278529.72,18562.590000000004,2,17851.18,6.409075483937586,96.16750679727343,96.16750679727343,"BUSAN, SOUTH KOREA→LA-LONG BEACH|STEEL","BUSAN, SOUTH KOREA→COLUMBIA RIVER|STEEL",
Shipper,BP PRODUCTS NORTH AMERICA,MARATHON PETROLEUM CANADA,1237750.6800000002,82375.0,1,17849.0,1.442051318444842,21.667981790591806,21.667981790591806,"VANCOUVER, BC, CANADA→SEATTLE-TACOMA|PETROLEUM PRODUCTS",,
Shipper,MARATHON PETROLEUM CANADA,TRANSMOUNTAIN WESTRIDGE MARINE,82375.0,119432.0,1,17849.0,21.667981790591806,14.944905887869247,21.667981790591806,"VANCOUVER, BC, CANADA→SEATTLE-TACOMA|PETROLEUM PRODUCTS",,
Shipper,KOMATSU LTD.,ZEN TRANSPORT LTD.,180157.189999999,46605.37999999998,5,17842.7,9.903962201009074,38.28463580814062,38.28463580814062,"KOBE, JAPAN→HOUSTON|RO/RO","KOBE, JAPAN→BALTIMORE|RO/RO","KOBE, JAPAN→SEATTLE-TACOMA|RO/RO"
Shipper,"HD HYUNDAI XITESOLUTION CO., LTD.",KOMATSU LTD.,54205.73000000006,180157.189999999,6,17824.94,32.883866705604696,9.894104143165253,32.883866705604696,"MASAN, SOUTH KOREA→GEORGIA PORTS|RO/RO","MASAN, SOUTH KOREA→HOUSTON|RO/RO","MASAN, SOUTH KOREA→BALTIMORE|RO/RO"
Consignee,CALI AMERICA LOGISTICS INC.,HYSTER YALE GROUP INC.,206992.99999999983,50041.4499999999,9,17821.059999999998,8.609498871942534,35.61259715695695,35.61259715695695,"ZEEBRUGGE, BELGIUM→SEATTLE-TACOMA|RO/RO","ZEEBRUGGE, BELGIUM→LA-LONG BEACH|RO/RO","ZEEBRUGGE, BELGIUM→HOUSTON|RO/RO"
Consignee,BP PRODUCTS NORTH AMERICA,CHEVRON USA,4621459.01,35871.8,1,17818.9,0.3855687124227031,49.673838502667834,49.673838502667834,"DAESAN, SOUTH KOREA→SEATTLE-TACOMA|UNCLASSIFIED",,
Consignee,RENKERT OIL LLC,TRICON,42227.92,81454.0,2,17814.88,42.18744375758977,21.871092886782726,42.18744375758977,"ONSAN, SOUTH KOREA→HOUSTON|CHEMICALS","ONSAN, SOUTH KOREA→NEW ORLEANS|CHEMICALS",
Shipper,GELF SIDERURGIA S.A.,"GREEN ESTEEL ENTERPRISE PTE., LTD.",28304.0,150354.0,1,17794.0,62.86743923120407,11.83473668808279,62.86743923120407,"RIO DE JANEIRO, BRAZIL→NEW ORLEANS|GENERAL CARGO",,
Shipper,GELF SIDERURGIA S.A.,STEMCOR USA INC.,28304.0,352288.0,1,17794.0,62.86743923120407,5.050981015532746,62.86743923120407,"RIO DE JANEIRO, BRAZIL→NEW ORLEANS|GENERAL CARGO",,
