Section,Commodity,Metric,Value,Rank,Details
TRADE_LANES,"Chemicals (HS28-29, HS38)",Rotterdam -> Houston,634.8K,806,"264 shipments | $1,179,954,540"
TRADE_LANES,"Chemicals (HS28-29, HS38)",All Other Chile Ports -> Port Of Boston,513.7K,44,"13 shipments | $3,749,258,000"
TRADE_LANES,"Chemicals (HS28-29, HS38)",Onsan -> Houston,420.3K,712,"177 shipments | $864,098,100"
TRADE_LANES,"Chemicals (HS28-29, HS38)",All Other India West Coast Ports -> New York,419.3K,73,"23 shipments | $1,522,607,000"
,,,,,
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",ExxonMobil,4.70M,215,13.1% market share | 146 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Celanese,3.32M,110,9.2% market share | 163 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Compania Minera,2.13M,139,5.9% market share | 48 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Sociedad Punta De Lobos S.A.,1.96M,644,5.4% market share | 68 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",The Dow Chemical Co.,924.9K,684,2.6% market share | 2 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Perstorp Oxo Ab,818.9K,514,2.3% market share | 27 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Puraglobe Germany Gmb H,717.3K,557,2.0% market share | 25 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Alunorte Alumina Do Norte Do,717.0K,29,2.0% market share | 39 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Reliance Industries Ltd.,509.0K,579,1.4% market share | 33 shipments
TOP_SHIPPERS,"Chemicals (HS28-29, HS38)",Biodiesel Bilbao S.L.,392.6K,74,1.1% market share | 13 shipments
,,,,,
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",ExxonMobil,4.79M,327,13.3% market share | 167 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Celanese,3.32M,184,9.2% market share | 163 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Morton Salt,2.17M,591,6.0% market share | 72 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Eastern Salt Co. Inc.,1.72M,283,4.8% market share | 40 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Dow Europe Gmb H Plant F412,924.9K,267,2.6% market share | 2 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Perstorp Polyols Inc.,818.9K,680,2.3% market share | 27 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Puraglobe Syntaincis Llc,717.3K,708,2.0% market share | 25 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Green America Biofuels Llc,533.1K,375,1.5% market share | 30 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Lanxess Deutschland G,506.2K,524,1.4% market share | 16 shipments
TOP_CONSIGNEES,"Chemicals (HS28-29, HS38)",Bdp International Airport,486.5K,108,1.4% market share | 4 shipments
,,,,,
HS_CODES,"Chemicals (HS28-29, HS38)",HS29,16.55M,,"46.0% of tonnage | 5,365.0 shipments"
HS_CODES,"Chemicals (HS28-29, HS38)",HS38,11.62M,,"32.3% of tonnage | 2,255.0 shipments"
HS_CODES,"Chemicals (HS28-29, HS38)",HS28,7.82M,,"21.7% of tonnage | 1,970.0 shipments"
,,,,,
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Netherlands,8.18M,53,22.7% of tonnage | 647 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Mexico,4.60M,50,12.8% of tonnage | 462 shipments
ORIGIN_COUNTRIES,"Chemicals (HS28-29, HS38)",Chile,3.94M,17,10.9% of tonnage | 156 shipments
