Analysis_Type,Entity_ID,Entity_Name,Vessel_Type,Carrier,Vessel_Name,Vessel_Size_Class,Total_Tons,Total_Value,Shipment_Count,Unique_Vessels,Pct_Tons,Pct_Shipments
Entity_Carrier,BP-001,BP,,BPSH - Bp Shipping Ltd,,,35681.53,119067000.0,0,1.0,0.7359643219795856,0.0
Entity_Carrier,BP-001,BP,,CHAN - Chandris,,,3154.0,2962000.0,0,1.0,0.06505414626344816,0.0
Entity_Carrier,BP-001,BP,,CHSL - Christal Lines,,,82.46,528000.0,1,1.0,0.0017008132215865358,1.639344262295082
Entity_Carrier,BP-001,BP,,CMCF - Cmb.Tech Nv,,,72702.2,39187000.0,0,1.0,1.4995496361681864,0.0
Entity_Carrier,BP-001,BP,,CPUV - Cpt Alliance Ltd,,,40644.259999999995,32884000.0,2,2.0,0.838325185418394,3.278688524590164
Entity_Carrier,BP-001,BP,,CSPA - Clearlake Shipping Pte Ltd,,,38709.0,224838000.0,0,2.0,0.7984086708027314,0.0
Entity_Carrier,BP-001,BP,,DAMT - D'amico Tankers Designated Activity Company,,,16923.08,51683000.0,1,1.0,0.3490540651705879,1.639344262295082
Entity_Carrier,BP-001,BP,,DMNA - Dampskibsselskabet Norden Aktieselskab,,,477416.0,438482000.0,0,8.0,9.8471434028251,0.0
Entity_Carrier,BP-001,BP,,DPKT - Dampskibsselskabet Torm,,,135814.88,139104000.0,2,3.0,2.8013066164466265,3.278688524590164
Entity_Carrier,BP-001,BP,,EMML - Eastern Mediterranean Maritime Limited,,,10526.0,6610000.0,1,1.0,0.21710841584307397,1.639344262295082
Entity_Carrier,BP-001,BP,,ESHT - Enterprises Shipping & Trading Sa,,,84918.35,73151000.0,4,2.0,1.7515189477966653,6.557377049180328
Entity_Carrier,BP-001,BP,,EURN - Euronav Nv,,,246933.45,176358000.0,0,2.0,5.093229160950495,0.0
Entity_Carrier,BP-001,BP,,"FKCO - Fuyo Kaiun Co.,Ltd",,,32972.35,23707000.0,0,1.0,0.6800849966866216,0.0
Entity_Carrier,BP-001,BP,,FLUB - Frontline Management As,,,70068.25,38608000.0,0,1.0,1.4452219987076256,0.0
Entity_Carrier,BP-001,BP,,HPPB - Hafnia Middle East Dmcc,,,32912.0,30904000.0,0,1.0,0.6788402225182644,0.0
Entity_Carrier,BP-001,BP,,HPPW - Hafnia Pools Pte Ltd,,,397596.0,318910000.0,0,5.0,8.200782605504735,0.0
Entity_Carrier,BP-001,BP,,LDCS - Louis Dreyfus Company Freight Asia Pte Ltd,,,25006.68,12928000.0,1,1.0,0.5157857382001406,1.639344262295082
Entity_Carrier,BP-001,BP,,MAET - Maersk Tankers,,,498976.42,653738000.0,10,6.0,10.291846863884507,16.39344262295082
Entity_Carrier,BP-001,BP,,MGYA - Miklagard S Gemi Isletmeciligi Ve Ticaret A S,,,17004.0,15882000.0,1,1.0,0.3507231144780191,1.639344262295082
Entity_Carrier,BP-001,BP,,MMSM - Mms Company Ltd,,,35033.57,32792000.0,2,1.0,0.7225995519691659,3.278688524590164
Entity_Carrier,BP-001,BP,,MSBY - Mission Shipping Co Ltd,,,36223.32,34014000.0,0,1.0,0.7471392382459374,0.0
Entity_Carrier,BP-001,BP,,MTMA - Mt Maritime Management,,,8845.0,4546000.0,2,1.0,0.18243624720995524,3.278688524590164
Entity_Carrier,BP-001,BP,,NACS - New Activity Shipping Inc,,,97030.0,90626000.0,0,1.0,2.0013328509646082,0.0
Entity_Carrier,BP-001,BP,,NEYI - New Alliance Shipping & Trading Inc.,,,27697.0,19194000.0,0,1.0,0.5712760586742941,0.0
Entity_Carrier,BP-001,BP,,NPLW - Navig8 Pte Ltd,,,180235.0,148952000.0,0,8.0,3.7175123816717113,0.0
Entity_Carrier,BP-001,BP,,NSCS - National Shipping Company Of Saudi Arabia,,,12721.0,14973000.0,0,1.0,0.26238230647346983,0.0
Entity_Carrier,BP-001,BP,,NTMN - Navios Tankers Management Inc,,,74064.0,62214000.0,0,1.0,1.5276380116854864,0.0
Entity_Carrier,BP-001,BP,,NYKA - Nyk Bulkship,,,40459.19,40030000.0,3,1.0,0.8345079467218259,4.918032786885246
Entity_Carrier,BP-001,BP,,PBIH - Pacific Basin Handysize Ltd,,,100137.45999999999,75994000.0,0,2.0,2.065427066991182,0.0
